Manufacturer,Model,Price,Unit Sales,Country of Sale,Year Resale Value,Retention %,Engine Size,Horsepower,Wheelbase,Width,Length,Curb Weight,Fuel Capacity,Fuel Efficiency,Latest Launch,Power Perf Factor,,,,,,,
Acura,Integra,"$21,500",16919,USA,"$16,360",76%,1.8,140,101.2,67.3,172.4,2.639,13.2,28,2/2/2012,58.28014952,,,,,,,
Acura,TL,"$28,400",39384,USA,"$19,875",70%,3.2,225,108.1,70.3,192.9,3.517,17.2,25,6/3/2011,91.37077766,,,,,,,
Acura,RL,"$42,000",8588,NORWAY,"$29,725",71%,3.5,210,114.6,71.4,196.6,3.85,18,22,3/10/2011,91.38977933,,,,,,,
Audi,A4,"$23,990",20397,NORWAY,"$22,255",93%,1.8,150,102.6,68.2,178,2.998,16.4,27,10/8/2011,62.7776392,,,,,,,
Audi,A6,"$33,950",18780,DENMARK,"$23,555",69%,2.8,200,108.7,76.1,192,3.561,18.5,22,8/9/2011,84.56510502,,,,,,,
Audi,A8,"$62,000",1380,DENMARK,"$39,000",63%,4.2,310,113,74,198.2,3.902,23.7,21,2/27/2012,134.6568582,,,,,,,
BMW,323i,"$26,990",19747,ITALY,"$24,500",91%,2.5,170,107.3,68.4,176,3.179,16.6,26,6/28/2011,71.19120671,,,,,,,
BMW,328i,"$33,400",9231,ITALY,"$28,675",86%,2.8,193,107.3,68.5,176,3.197,16.6,24,1/29/2012,81.87706856,,,,,,,
BMW,528i,"$38,900",17527,USA,"$36,125",93%,2.8,193,111.4,70.9,188,3.472,18.5,25,4/4/2011,83.9987238,,,,,,,
Buick,Century,"$21,975",91561,SWEDEN,"$12,475",57%,3.1,175,109,72.7,194.6,3.368,17.5,25,11/2/2011,71.18145132,,,,,,,
Buick,Regal,"$25,300",39350,USA,"$13,740",54%,3.8,240,109,72.7,196.2,3.543,17.5,23,9/3/2011,95.63670253,,,,,,,
Buick,Park Avenue,"$31,965",27851,SINGAPORE,"$20,190",63%,3.8,205,113.8,74.7,206.8,3.778,18.5,24,3/23/2012,85.82840825,,,,,,,
Buick,LeSabre,"$27,885",83257,AUSTRIA,"$13,360",48%,3.8,205,112.2,73.5,200,3.591,17.5,25,7/23/2011,84.25452581,,,,,,,
Cadillac,DeVille,"$39,895",63729,AUSTRIA,"$22,525",56%,4.6,275,115.3,74.5,207.2,3.978,18.5,22,2/23/2012,113.8545976,,,,,,,
Cadillac,Seville,"$44,475",15943,AUSTRIA,"$27,100",61%,4.6,275,112.2,75,201,3.875,18.5,22,4/29/2011,115.6213578,,,,,,,
Cadillac,Eldorado,"$39,665",6536,FRANCE,"$25,725",65%,4.6,275,108,75.5,200.6,3.843,19,22,11/27/2011,113.7658739,,,,,,,
Cadillac,Catera,"$31,010",11185,AUSTRALIA,"$18,225",59%,3,200,107.4,70.3,194.8,3.77,18,22,9/28/2011,83.48309358,,,,,,,
Cadillac,Escalade,"$46,225",14785,SPAIN,"$31,245",68%,5.7,255,117.5,77,201.2,5.572,30,15,4/17/2012,109.5091165,,,,,,,
Chevrolet,Cavalier,"$13,260",145519,SPAIN,"$9,250",70%,2.2,115,104.1,67.9,180.9,2.676,14.3,27,8/17/2011,46.36334747,,,,,,,
Chevrolet,Malibu,"$16,535",135126,SPAIN,"$11,225",68%,3.1,170,107,69.4,190.4,3.051,15,25,3/19/2012,67.31446216,,,,,,,
Chevrolet,Lumina,"$18,890",24629,UK,"$10,310",55%,3.1,175,107.5,72.5,200.9,3.33,16.6,25,5/24/2011,69.9913956,,,,,,,
Chevrolet,Monte Carlo,"$19,390",42593,USA,"$11,525",59%,3.4,180,110.5,72.7,197.9,3.34,17,27,12/22/2011,72.03091719,,,,,,,
Chevrolet,Camaro,"$24,340",26402,USA,"$13,025",54%,3.8,200,101.1,74.1,193.2,3.5,16.8,25,10/23/2011,81.11854333,,,,,,,
Chevrolet,Corvette,"$55,705",17947,FRANCE,"$36,225",65%,5.7,345,104.5,73.6,179.7,3.21,19.1,22,5/12/2012,141.14115,,,,,,,
Chevrolet,Prizm,"$13,960",32299,AUSTRALIA,"$9,125",65%,1.8,120,97.1,66.7,174.3,2.398,13.2,33,9/11/2011,48.2976361,,,,,,,
Chevrolet,Metro,"$9,235",21855,AUSTRALIA,"$5,160",56%,1,55,93.1,62.6,149.4,1.895,10.3,45,4/13/2012,23.27627233,,,,,,,
Chevrolet,Impala,"$18,890",107995,USA,"$11,550",61%,3.4,180,110.5,73,200,3.389,17,27,6/18/2011,71.83803944,,,,,,,
Chrysler,Sebring Coupe,"$19,840",7854,USA,"$12,360",62%,2.5,163,103.7,69.7,190.9,2.967,15.9,24,1/16/2012,65.95718396,,,,,,,
Chrysler,Sebring Conv.,"$24,495",32775,USA,"$14,180",58%,2.5,168,106,69.2,193,3.332,16,24,11/17/2011,69.52135505,,,,,,,
Chrysler,Concorde,"$22,245",31148,USA,"$13,725",62%,2.7,200,113,74.4,209.1,3.452,17,26,6/6/2012,80.02378204,,,,,,,
Chrysler,Cirrus,"$16,480",32306,USA,"$12,640",77%,2,132,108,71,186,2.911,16,27,10/6/2011,53.56619987,,,,,,,
Chrysler,LHS,"$28,340",13462,USA,"$17,325",61%,3.5,253,113,74.4,207.7,3.564,17,23,5/8/2012,101.3292807,,,,,,,
Chrysler,300M,"$29,185",30696,USA,"$18,425",63%,3.5,253,113,74.4,197.8,3.567,17,23,2/10/2012,101.6552441,,,,,,,
Dodge,Neon,"$12,640",76034,SINGAPORE,"$7,750",61%,2,132,105,74.4,174.4,2.567,12.5,29,12/12/2011,52.08489875,,,,,,,
Dodge,Avenger,"$19,045",4734,SPAIN,"$12,545",66%,2.5,163,103.7,69.1,190.2,2.879,15.9,24,7/1/2012,65.65050834,,,,,,,
Dodge,Stratus,"$20,230",71186,FINLAND,"$10,185",50%,2.5,168,108,71,186,3.058,16,24,10/31/2011,67.87610784,,,,,,,
Dodge,Intrepid,"$22,505",88028,FINLAND,"$12,275",55%,2.7,202,113,74.7,203.7,3.489,17,22,6/2/2012,80.83147017,,,,,,,
Dodge,Viper,"$69,725",916,FINLAND,"$58,470",84%,8,450,96.2,75.7,176.7,3.375,19,16,8/7/2011,188.144323,,,,,,,
Dodge,Ram Pickup,"$19,460",227061,USA,"$15,060",77%,5.2,230,138.7,79.3,224.2,4.47,26,17,3/6/2012,90.21170005,,,,,,,
Dodge,Ram Wagon,"$21,315",16767,AUSTRIA,"$15,510",73%,3.9,175,109.6,78.8,192.6,4.245,32,15,1/6/2012,71.13529161,,,,,,,
Dodge,Ram Van,"$18,575",31038,SWEDEN,"$13,425",72%,3.9,175,127.2,78.8,208.5,4.298,32,16,7/26/2012,70.07832154,,,,,,,
Dodge,Dakota,"$16,980",111313,SWEDEN,"$11,260",66%,2.5,120,131,71.5,215,3.557,22,19,11/25/2011,49.64500177,,,,,,,
Dodge,Durango,"$26,310",101323,SWEDEN,"$21,436",81%,5.2,230,115.7,71.7,193.5,4.394,25,17,6/27/2012,92.85412522,,,,,,,
Dodge,Caravan,"$19,565",181749,USA,"$12,025",61%,2.4,150,113.3,76.8,186.3,3.533,20,24,9/1/2011,61.22700031,,,,,,,
Ford,Escort,"$12,070",70227,AUSTRALIA,"$7,425",62%,2,110,98.4,67,174.7,2.468,12.7,30,3/31/2012,44.08370946,,,,,,,
Ford,Mustang,"$21,560",113369,FRANCE,"$12,760",59%,3.8,190,101.3,73.1,183.2,3.203,15.7,24,1/31/2012,76.50918456,,,,,,,
Ford,Contour,"$17,035",35068,FRANCE,"$8,835",52%,2.5,170,106.5,69.1,184.6,2.769,15,25,8/20/2012,67.35101072,,,,,,,
Ford,Taurus,"$17,885",245815,FRANCE,"$10,055",56%,3,155,108.5,73,197.6,3.368,16,24,12/20/2011,62.5037395,,,,,,,
Ford,Focus,"$12,315",175670,FRANCE,"$8,670",70%,2,107,103,66.9,174.8,2.564,13.2,30,7/22/2012,43.11713201,,,,,,,
Ford,Crown Victoria,"$22,195",63403,USA,"$14,210",64%,4.6,200,114.7,78.2,212,3.908,19,21,9/26/2011,80.49953671,,,,,,,
Ford,Explorer,"$31,930",276747,USA,"$16,640",52%,4,210,111.6,70.2,190.7,3.876,21,19,4/25/2012,87.63549578,,,,,,,
Ford,Windstar,"$21,410",155787,UK,"$13,175",62%,3,150,120.7,76.6,200.9,3.761,26,21,2/25/2012,62.09504839,,,,,,,
Ford,Expedition,"$36,135",125338,UK,"$23,575",65%,4.6,240,119,78.7,204.6,4.808,26,16,9/14/2012,100.0248023,,,,,,,
Ford,Ranger,"$12,050",220650,UK,"$7,850",65%,2.5,119,117.5,69.4,200.7,3.086,20,23,1/14/2012,47.38953131,,,,,,,
Ford,F-Series,"$26,935",540561,NORWAY,"$15,075",56%,4.6,220,138.5,79.1,224.5,4.241,25.1,18,8/16/2012,89.40193473,,,,,,,
Honda,Civic,"$12,885",199685,FRANCE,"$9,850",76%,1.6,106,103.2,67.1,175.1,2.339,11.9,32,10/21/2011,42.87909734,,,,,,,
Honda,Accord,"$15,350",230902,FRANCE,"$13,210",86%,2.3,135,106.9,70.3,188.8,2.932,17.1,27,5/20/2012,54.26954829,,,,,,,
Honda,CR-V,"$20,550",73203,SPAIN,"$17,710",86%,2,146,103.2,68.9,177.6,3.219,15.3,24,3/21/2012,60.08796662,,,,,,,
Honda,Passport,"$26,600",12855,SPAIN,"$17,525",66%,3.2,205,106.4,70.4,178.2,3.857,21.1,19,10/9/2012,83.6025008,,,,,,,
Honda,Odyssey,"$26,000",76029,PHILIPPINES,"$19,490",75%,3.5,210,118.1,75.6,201.2,4.288,20,23,2/8/2012,85.21769134,,,,,,,
Hyundai,Accent,"$9,699",41184,USA,"$5,860",60%,1.5,92,96.1,65.7,166.7,2.24,11.9,31,9/10/2012,36.67228358,,,,,,,
Hyundai,Elantra,"$11,799",66692,SPAIN,"$7,825",66%,2,140,100.4,66.9,174,2.626,14.5,27,11/15/2011,54.59004516,,,,,,,
Hyundai,Sonata,"$14,999",29450,CANADA,"$8,910",59%,2.4,148,106.3,71.6,185.4,3.072,17.2,25,6/14/2012,58.758249,,,,,,,
Infiniti,I30,"$29,465",23713,CANADA,"$19,690",67%,3,227,108.3,70.2,193.7,3.342,18.5,25,4/15/2012,92.43688923,,,,,,,
Jaguar,S-Type,"$42,800",15467,USA,"$33,219",78%,3,240,114.5,71.6,191.3,3.65,18.4,21,11/3/2012,102.1789848,,,,,,,
Jeep,Wrangler,"$14,460",55557,JAPAN,"$13,475",93%,2.5,120,93.4,66.7,152,3.045,19,17,3/4/2012,48.67289791,,,,,,,
Jeep,Cherokee,"$21,620",80556,FRANCE,"$13,775",64%,4,190,101.4,69.4,167.5,3.194,20,20,10/5/2012,76.58443962,,,,,,,
Jeep,Grand Cherokee,"$26,895",157040,USA,"$18,810",70%,4,195,105.9,72.3,181.5,3.88,20.5,19,12/10/2011,80.38777912,,,,,,,
Lexus,ES300,"$31,505",24072,USA,"$26,975",86%,3,210,105.1,70.5,190.2,3.373,18.5,23,7/9/2012,87.21100104,,,,,,,
Lexus,GS300,"$37,805",12698,FRANCE,"$32,075",85%,3,225,110.2,70.9,189.2,3.638,19.8,23,5/10/2012,94.9466984,,,,,,,
Lexus,GS400,"$46,305",3334,USA,"$38,955",84%,4,300,110.2,70.9,189.2,3.693,19.8,21,11/28/2012,125.0133574,,,,,,,
Lexus,LS400,"$54,005",6375,USA,"$40,375",75%,4,290,112.2,72,196.7,3.89,22.5,22,3/29/2012,124.4467163,,,,,,,
Lexus,LX470,"$60,105",9126,AUSTRALIA,"$43,870",73%,4.7,230,112.2,76.4,192.5,5.401,25.4,15,10/30/2012,105.760458,,,,,,,
Lexus,RX300,"$34,605",51238,FRANCE,"$29,140",84%,3,220,103,71.5,180.1,3.9,17.2,21,1/4/2012,91.94380156,,,,,,,
Lincoln,Continental,"$39,080",13798,USA,"$20,525",53%,4.6,275,109,73.6,208.5,3.868,20,22,8/3/2012,113.5402069,,,,,,,
Lincoln,Town car,"$43,330",48911,USA,"$21,725",50%,4.6,215,117.7,78.2,215.3,4.121,19,21,6/4/2012,93.9579169,,,,,,,
Lincoln,Navigator,"$42,660",22925,USA,"$20,765",49%,5.4,300,119,79.9,204.8,5.393,30,15,12/23/2012,123.9720467,,,,,,,
Mitsubishi,Mirage,"$13,987",26232,SPAIN,"$8,325",60%,1.8,113,98.4,66.5,173.6,2.25,13.2,30,4/23/2012,45.83218056,,,,,,,
Mitsubishi,Eclipse,"$19,047",42541,USA,"$10,395",55%,2.4,154,100.8,68.9,175.4,2.91,15.9,24,11/24/2012,62.44196235,,,,,,,
Mitsubishi,Galant,"$17,357",55616,USA,"$10,595",61%,2.4,145,103.7,68.5,187.8,2.945,16.3,25,1/29/2012,58.60677292,,,,,,,
Mitsubishi,Diamante,"$24,997",5711,USA,"$16,575",66%,3.5,210,107.1,70.3,194.1,3.443,19,22,8/28/2012,84.83077858,,,,,,,
Mitsubishi,3000GT,"$25,450",110,USA,"$20,940",82%,3,161,97.2,72.4,180.3,3.131,19.8,21,6/29/2012,67.54415494,,,,,,,
Mitsubishi,Montero,"$31,807",11337,USA,"$19,125",60%,3.5,200,107.3,69.9,186.6,4.52,24.3,18,1/17/2012,83.92081504,,,,,,,
Mitsubishi,Montero Sport,"$22,527",39348,DENMARK,"$13,880",62%,3,173,107.3,66.7,178.3,3.51,19.5,20,5/18/2012,70.66094179,,,,,,,
Mercury,Mystique,"$16,240",14351,JAPAN,"$8,800",54%,2,125,106.5,69.1,184.8,2.769,15,28,12/19/2012,50.99774761,,,,,,,
Mercury,Cougar,"$16,540",26529,JAPAN,"$13,890",84%,2,125,106.4,69.6,185,2.892,16,30,2/23/2012,51.11347426,,,,,,,
Mercury,Sable,"$19,035",67956,SPAIN,"$11,030",58%,3,153,108.5,73,199.7,3.379,16,24,9/22/2012,62.23996663,,,,,,,
Mercury,Grand Marquis,"$22,605",81174,USA,"$14,875",66%,4.6,200,114.7,78.2,212,3.958,19,21,7/24/2012,80.65769646,,,,,,,
Mercury,Mountaineer,"$27,560",27609,AUSTRALIA,"$20,430",74%,4,210,111.6,70.2,190.1,3.876,21,18,2/13/2008,85.94974425,,,,,,,
Mercury,Villager,"$22,510",20380,AUSTRALIA,"$14,795",66%,3.3,170,112.2,74.9,194.7,3.944,20,21,10/20/2009,69.671461,,,,,,,
Mercedes-B,C-Class,"$31,750",18392,USA,"$26,050",82%,2.3,185,105.9,67.7,177.4,3.25,16.4,26,4/24/2011,78.28073088,,,,,,,
Mercedes-B,E-Class,"$49,900",27602,FRANCE,"$41,450",83%,3.2,221,111.5,70.8,189.4,3.823,21.1,25,7/12/2011,98.2497375,,,,,,,
Mercedes-B,S-Class,"$69,700",16774,ITALY,"$50,375",72%,4.3,275,121.5,73.1,203.1,4.133,23.2,21,6/13/2011,125.2738757,,,,,,,
Mercedes-B,SL-Class,"$82,600",3311,ITALY,"$58,600",71%,5,302,99,71.3,177.1,4.125,21.1,20,3/17/2011,139.9822936,,,,,,,
Mercedes-B,SLK,"$38,900",7998,CANADA,"$32,436",83%,2.3,190,94.5,67.5,157.9,3.055,15.9,26,1/16/2011,82.80736193,,,,,,,
Mercedes-B,SLK230,"$41,000",1526,NORWAY,"$28,635",70%,2.3,185,94.5,67.5,157.3,2.975,14,27,8/6/2011,81.84896924,,,,,,,
Mercedes-B,CLK Coupe,"$41,600",11592,USA,"$29,200",70%,3.2,215,105.9,67.8,180.3,3.213,16.4,26,7/8/2011,92.92579177,,,,,,,
Mercedes-B,CL500,"$85,500",954,SWEDEN,"$63,423",74%,5,302,113.6,73.1,196.6,4.115,23.2,20,4/11/2011,141.1009845,,,,,,,
Mercedes-B,M-Class,"$35,300",28976,USA,"$28,720",81%,3.2,215,111,72.2,180.6,4.387,19,20,2/10/2011,90.49553213,,,,,,,
Nissan,Sentra,"$13,499",42643,GERMANY,"$8,450",63%,1.8,126,99.8,67.3,177.5,2.593,13.2,30,8/31/2011,50.24197791,,,,,,,
Nissan,Altima,"$20,390",88094,FINLAND,"$11,295",55%,2.4,155,103.1,69.1,183.5,3.012,15.9,25,8/2/2011,63.31372783,,,,,,,
Nissan,Maxima,"$26,249",79853,FRANCE,"$15,125",58%,3,222,108.3,70.3,190.5,3.294,18.5,25,5/6/2011,89.42782031,,,,,,,
Nissan,Quest,"$26,399",27308,USA,"$15,380",58%,3.3,170,112.2,74.9,194.8,3.991,20,21,3/7/2011,71.17166413,,,,,,,
Nissan,Pathfinder,"$29,299",42574,NORWAY,"$17,810",61%,3.3,170,106.3,71.7,182.6,3.947,21,19,9/25/2011,72.29035508,,,,,,,
Nissan,Xterra,"$22,799",54158,USA,"$13,093",57%,3.3,170,104.3,70.4,178,3.821,19.4,18,1/24/2011,69.78294434,,,,,,,
Nissan,Frontier,"$17,890",65005,UK,"$10,670",60%,3.3,170,116.1,66.5,196.1,3.217,19.4,18,8/27/2011,67.88927059,,,,,,,
Oldsmobile,Cutlass,"$18,145",1112,USA,"$11,240",62%,3.1,150,107,69.4,192,3.102,15.2,25,5/31/2011,60.86161155,,,,,,,
Oldsmobile,Intrigue,"$24,150",38554,NORWAY,"$17,100",71%,3.5,215,109,73.6,195.9,3.455,18,23,4/1/2011,86.27252291,,,,,,,
Oldsmobile,Alero,"$18,270",80255,UK,"$11,459",63%,2.4,150,107,70.1,186.7,2.958,15,27,10/20/2009,60.72744693,,,,,,,
Oldsmobile,Aurora,"$36,229",14690,USA,"$19,890",55%,4,250,113.8,74.4,205.4,3.967,18.5,22,2/18/2011,103.4416926,,,,,,,
Oldsmobile,Bravada,"$31,598",20017,AUSTRALIA,"$19,925",63%,4.3,190,107,67.8,181.2,4.068,17.5,19,9/21/2011,80.51167259,,,,,,,
Oldsmobile,Silhouette,"$25,345",24361,USA,"$15,240",60%,3.4,185,120,72.2,201.4,3.948,25,22,6/25/2011,76.09657042,,,,,,,
Plymouth,Neon,"$12,640",32734,FRANCE,"$7,750",61%,2,132,105,74.4,174.4,2.559,12.5,29,4/26/2011,52.08489875,,,,,,,
Plymouth,Breeze,"$16,080",5240,USA,"$9,800",61%,2,132,108,71,186.3,2.942,16,27,11/14/2011,53.41189767,,,,,,,
Plymouth,Voyager,"$18,850",24155,FRANCE,"$12,025",64%,2.4,150,113.3,76.8,186.3,3.528,20,24,4/24/2011,60.95118512,,,,,,,
Plymouth,Prowler,"$43,000",1872,USA,"$30,434",71%,3.5,253,113.3,76.3,165.4,2.85,12,21,6/27/2012,106.9844563,,,,,,,
Pontiac,Sunfire,"$21,610",51645,USA,"$13,790",64%,2.4,150,104.1,68.4,181.9,2.906,15,27,1/25/2012,62.0158703,,,,,,,
Pontiac,Grand Am,"$19,720",131097,USA,"$10,290",52%,3.4,175,107,70.4,186.3,3.091,15.2,25,11/26/2012,70.38973726,,,,,,,
Pontiac,Firebird,"$25,310",19911,SPAIN,"$17,805",70%,3.8,200,101.1,74.5,193.4,3.492,16.8,25,6/16/2012,81.49272616,,,,,,,
Pontiac,Grand Prix,"$21,665",92364,USA,"$14,010",65%,3.8,195,110.5,72.7,196.5,3.396,18,25,10/15/2012,78.31816813,,,,,,,
Pontiac,Bonneville,"$23,755",35945,USA,"$13,225",56%,3.8,205,112.2,72.6,202.5,3.59,17.5,24,5/18/2011,82.6613556,,,,,,,
Pontiac,Montana,"$25,635",39572,USA,"$14,215",55%,3.4,185,120,72.7,201.3,3.942,25,23,7/22/2012,76.20843952,,,,,,,
Porsche,Boxter,"$41,430",8982,USA,"$41,250",100%,2.7,217,95.2,70.1,171,2.778,17,22,2/19/2012,93.4373307,,,,,,,
Porsche,Carrera Coupe,"$71,020",1280,USA,"$60,625",85%,3.4,300,92.6,69.5,174.5,3.032,17,21,12/21/2012,134.3909754,,,,,,,
Porsche,Carrera Cabrio,"$74,970",1866,DENMARK,"$67,550",90%,3.4,300,92.6,69.5,174.5,3.075,17,23,7/11/2011,135.9147096,,,,,,,
Saab,9-5,"$33,120",9191,JAPAN,"$22,789",69%,2.3,170,106.4,70.6,189.2,3.28,18.5,23,11/9/2012,73.50377819,,,,,,,
Saab,9-3,"$26,100",12115,JAPAN,"$18,255",70%,2,185,102.6,67.4,182.2,2.99,16.9,23,6/12/2011,76.02304771,,,,,,,
Saturn,SL,"$10,685",80620,SPAIN,"$9,200",86%,1.9,100,102.4,66.4,176.9,2.332,12.1,33,8/16/2012,39.98642475,,,,,,,
Saturn,SC,"$12,535",24546,USA,"$10,590",84%,1.9,100,102.4,66.4,180,2.367,12.1,33,3/16/2011,40.70007242,,,,,,,
Saturn,SW,"$14,290",5223,AUSTRALIA,"$10,790",76%,1.9,124,102.4,66.4,176.9,2.452,12.1,31,1/15/2011,49.86577367,,,,,,,
Saturn,LW,"$18,835",8472,AUSTRALIA,"$13,700",73%,2.2,137,106.5,69,190.4,3.075,13.1,27,8/5/2011,56.29524304,,,,,,,
Saturn,LS,"$15,010",49989,USA,"$9,900",66%,2.2,137,106.5,69,190.4,2.91,13.1,28,12/4/2012,54.81972825,,,,,,,
Subaru,Outback,"$22,695",47107,FRANCE,"$16,770",74%,2.5,165,103.5,67.5,185.8,3.415,16.9,25,7/7/2011,67.7659076,,,,,,,
Subaru,Forester,"$20,095",33028,ITALY,"$14,832",74%,2.5,165,99.4,68.3,175.2,3.125,15.9,24,9/10/2012,66.76294331,,,,,,,
Toyota,Corolla,"$13,108",142535,ITALY,"$10,025",76%,1.8,120,97,66.7,174,2.42,13.2,33,4/11/2011,47.96897242,,,,,,,
Toyota,Camry,"$17,518",247994,CANADA,"$13,245",76%,2.2,133,105.2,70.1,188.5,2.998,18.5,27,2/10/2011,54.37241965,,,,,,,
Toyota,Avalon,"$25,545",63849,NORWAY,"$18,140",71%,3,210,107.1,71.7,191.9,3.417,18.5,26,8/31/2011,84.91189826,,,,,,,
Toyota,Celica,"$16,875",33269,USA,"$15,445",92%,1.8,140,102.4,68.3,170.5,2.425,14.5,31,12/29/2012,56.49603034,,,,,,,
Toyota,Tacoma,"$11,528",84087,SWEDEN,"$9,575",83%,2.4,142,103.3,66.5,178.7,2.58,15.1,23,8/1/2011,55.29711658,,,,,,,
Toyota,Sienna,"$22,368",65119,USA,"$18,689",84%,3,194,114.2,73.4,193.5,3.759,20.9,22,10/5/2012,78.02721947,,,,,,,
Toyota,RAV4,"$16,888",25106,GERMANY,"$13,325",79%,2,127,94.9,66.7,163.8,2.668,15.3,27,5/6/2011,51.95510887,,,,,,,
Toyota,4Runner,"$22,288",68411,FINLAND,"$19,425",87%,2.7,150,105.3,66.5,183.3,3.44,18.5,23,3/7/2011,62.35557713,,,,,,,
Toyota,Land Cruiser,"$51,728",9835,FRANCE,"$34,080",66%,4.7,230,112.2,76.4,192.5,5.115,25.4,15,9/25/2011,102.5289842,,,,,,,
Volkswagen,Golf,"$14,900",9761,USA,"$11,425",77%,2,115,98.9,68.3,163.3,2.767,14.5,26,1/24/2011,46.94387676,,,,,,,
Volkswagen,Jetta,"$16,700",83721,NORWAY,"$13,240",79%,2,115,98.9,68.3,172.3,2.853,14.5,26,8/27/2011,47.63823666,,,,,,,
Volkswagen,Passat,"$21,200",51102,USA,"$16,725",79%,1.8,150,106.4,68.5,184.1,3.043,16.4,27,10/30/2012,61.70138136,,,,,,,
Volkswagen,Cabrio,"$19,990",9569,UK,"$16,575",83%,2,115,97.4,66.7,160.4,3.079,13.7,26,5/31/2011,48.90737225,,,,,,,
Volkswagen,GTI,"$17,500",5596,USA,"$13,760",79%,2,115,98.9,68.3,163.3,2.762,14.6,26,4/1/2011,47.94684106,,,,,,,
Volkswagen,Beetle,"$15,900",49463,NORWAY,"$11,986",75%,2,115,98.9,67.9,161.1,2.769,14.5,26,10/20/2011,47.32963226,,,,,,,
Volvo,S40,"$23,400",16957,UK,"$14,334",61%,1.9,160,100.5,67.6,176.6,2.998,15.8,25,2/18/2011,66.1130568,,,,,,,
Volvo,V40,"$24,400",3545,USA,"$15,252",63%,1.9,160,100.5,67.6,176.6,3.042,15.8,25,9/21/2011,66.4988123,,,,,,,
Volvo,S70,"$27,500",15245,AUSTRALIA,"$18,900",69%,2.4,168,104.9,69.3,185.9,3.208,17.9,25,11/24/2012,70.65449545,,,,,,,
Volvo,V70,"$28,800",17531,USA,"$20,223",70%,2.4,168,104.9,69.3,186.2,3.259,17.9,25,6/25/2011,71.1559776,,,,,,,
Volvo,C70,"$45,500",3493,FRANCE,"$34,175",75%,2.3,236,104.9,71.5,185.7,3.601,18.5,23,4/26/2011,101.6233572,,,,,,,
Volvo,S80,"$36,000",18969,USA,"$26,403",73%,2.9,201,109.9,72.1,189.8,3.6,21.1,24,11/14/2011,85.73565451,,,,,,,
